country.0,country.1,country.2,country.3,assembly
Italy,Greece,Thailand,,1
United States of America,Ireland,Costa Rica,New Zealand,1
Madagascar,Greece,France,Switzerland,1
Iceland,Thailand,Italy,,1
Norway,Thailand,Japan,Italy,1
Uzbekistan,Thailand,Iceland,Switzerland,1
United States of America,Mexico,,,1
Greece,India,,,1
New Zealand,Greece,Italy,South Korea,1
Madagascar,Italy,Australia,Anguilla,1
Japan,New Zealand,South Korea,Switzerland,1
South Korea,Spain,Switzerland,,1
Egypt,Czech Republic,Iraq,Portugal,1
Chile,Nepal,,,1
United States of America,Switzerland,Madagascar,,1
Anguilla,Greece,Dominica,,1
South Korea,Iceland,Norway,,1
Italy,Greece,Spain,,1
Germany,Maldives,Australia,,1
Madagascar,Australia,France,,1
United States of America,Puerto Rico,Chile,,1
Madagascar,United States of America,Italy,New Zealand,1
Italy,Greece,Japan,,1
Argentina,Greece,Italy,New Zealand,1
Uzbekistan,Turkmenistan,Pakistan,Afghanistan,1
Slovenia,Italy,Belize,The Bahamas,1
Argentina,Nigeria,Italy,,1
North Korea,Russia,Niger,Nigeria,1
United States of America,Norway,Iceland,,1
Nepal,,,,1
Bolivia,North Korea,Saint Martin (French part),,1
Croatia,France,Italy,Greece,1
Montenegro,Chile,Uruguay,,1
Spain,Switzerland,India,South Korea,1
Italy,Spain,,,1
Japan,Brazil,Italy,Madagascar,1
Maldives,French Polynesia,Vatican City,Indonesia,1
India,,,,1
South Korea,,,,1
Colombia,Italy,Mexico,,1
Argentina,,,,1
Japan,,,,1
Ethiopia,Brazil,Japan,,1
Australia,New Zealand,Colombia,Dominican Republic,1
Iceland,Greece,,,1
United States of America,Madagascar,North Korea,Russia,1
Switzerland,Greece,Greenland,,1
Peru,Brazil,Colombia,Argentina,1
Brazil,South Korea,Thailand,Philippines,1
Greece,Madagascar,Iceland,Costa Rica,1
India,Brazil,,,1
South Korea,Madagascar,Japan,Chad,1
Morocco,,,,2
Finland,,,,2
Trinidad and Tobago,,,,2
North Korea,,,,2
Morocco,,,,2
Switzerland,,,,2
South Korea,,,,2
Greece,,,,2
India,,,,2
Nepal,,,,2
Italy,,,,2
Switzerland,,,,2
Singapore,,,,2
Greece,Zimbabwe,,,2
Switzerland,,,,2
India,,,,2
Spain,,,,2
Poland,,,,2
Canada,,,,2
Morocco,,,,2
Morocco,,,,2
Austria,,,,2
North Korea,,,,2
Chad,,,,2
Ukraine,,,,2
Morocco,,,,2
Aruba,,,,2
Canada,,,,2
Jamaica,,,,2
Philippines,,,,2
Comoros,,,,2
Dominican Republic,,,,2
India,,,,2
South Korea,,,,2
Poland,,,,2
Philippines,,,,2
Singapore,,,,2
Nepal,,,,2
Indonesia,,,,2
South Korea,,,,2
Poland,,,,2
Turkey,,,,2
United States of America,,,,2
Argentina,Ecuador,Greece,France,2
Greece,,,,2
United States of America,,,,2
Bangladesh,,,,2
Japan,,,,2
South Korea,,,,2
South Korea,,,,2
Japan,,,,2
Switzerland,,,,2
North Korea,,,,2
Jamaica,Puerto Rico,,,2
Japan,,,,2
North Korea,,,,2
Morocco,,,,2
France,Italy,Spain,China,2
Angola,,,,2
China,,,,2
Italy,,,,2
Zimbabwe,,,,2
North Korea,India,,,2
Antarctica,,,,2
North Korea,,,,2
Greece,The Bahamas,,,2
Switzerland,United States of America,Japan,,2
North Korea,,,,2
Chad,,,,2
Madagascar,,,,2
Antarctica,North Korea,Switzerland,,2
India,,,,2
Antarctica,,,,2
Antarctica,,,,2
Morocco,,,,2
Mexico,,,,2
Fiji,United States of America,Switzerland,Japan,2
North Korea,Iran,Afghanistan,Syria,2
South Korea,North Korea,,,2
Ireland,,,,2
Nepal,Norway,,,2
Denmark,,,,2
Antarctica,,,,2
South Korea,Italy,France,Switzerland,2
Puerto Rico,Egypt,,,2
Japan,,,,2
Switzerland,Egypt,Japan,,2
Aruba,,,,2
Ghana,Guatemala,Kyrgyzstan,Jordan,2
Iceland,,,,2
India,Indonesia,,,2
Antarctica,,,,2
Italy,Greece,United States of America,Spain,2
Japan,The Bahamas,,,2
South Korea,,,,2
South Korea,Spain,,,2
Kazakhstan,,,,2
Japan,,,,2
United States of America,,,,2
Kazakhstan,Uzbekistan,,,2
Japan,Sweden,Netherlands,,2
Greece,,,,2
Philippines,Antarctica,Turkey,China,2
Italy,Ireland,,,2
United States of America,,,,2
Ukraine,China,North Korea,,2
Canada,North Korea,Antarctica,,2
Portugal,Iceland,Italy,,2
Iceland,Greenland,Greece,,2
China,France,,,2
North Korea,Chad,India,,2
United States of America,,,,2
Dominican Republic,,,,2
Iceland,Norway,,,2
South Africa,,,,2
United States of America,Iceland,Greenland,Antarctica,2
Aruba,The Bahamas,Canada,South Korea,2
Iceland,New Zealand,Brazil,Costa Rica,2
India,South Korea,Canada,,2
Iceland,Japan,China,New Zealand,2
Iceland,South Korea,United States of America,,2
Brazil,Italy,,,2
Japan,Philippines,Sweden,Greece,2
Morocco,Russia,Sri Lanka,Togo,2
Morocco,Albania,"Palestine, State of",,2
Switzerland,Afghanistan,,,2
Austria,Belgium,China,France,2
Japan,Taiwan,South Korea,,2
Iceland,,,,2
Zimbabwe,,,,2
India,Bangladesh,,,2
Nepal,Norway,Ukraine,Antarctica,2
Croatia,Iceland,,,2
Switzerland,Italy,,,2
China,India,Egypt,,2
Greece,Switzerland,Brazil,,2
Iceland,India,Indonesia,,2
Lithuania,Lebanon,New Zealand,"Palestine, State of",2
North Korea,Afghanistan,Iraq,Iran,2
Romania,United Republic of Tanzania,Djibouti,Tuvalu,2
France,India,Italy,Greece,2
Iceland,Albania,United States of America,Chile,2
Croatia,Norway,Netherlands,Germany,2
Curaçao,Greece,Italy,South Korea,2
China,Japan,Greece,The Bahamas,2
Monaco,Chad,Turkmenistan,Turkey,2
Iceland,Switzerland,Tuvalu,Thailand,2
Spain,North Korea,Switzerland,Haiti,2
Jersey,,,,2
Afghanistan,North Korea,Iraq,Iran,2
Iceland,Czech Republic,Vietnam,Italy,2
United States Minor Outlying Islands,North Korea,Kenya,India,2
South Korea,Niger,North Korea,,2
Afghanistan,Switzerland,Cayman Islands,Greece,2
The Bahamas,Greece,China,Japan,2
Iraq,,,,2
Dominican Republic,Italy,France,Greece,2
Iceland,Czech Republic,Poland,Greece,2
France,United Kingdom,United States of America,,2
Rwanda,,,,2
China,Czech Republic,Sweden,Puerto Rico,2
Japan,Italy,Canada,,2
Aruba,Fiji,France,Greece,2
Italy,,,,2
Vatican City,Iceland,Mongolia,Madagascar,2
Georgia,Ireland,Greece,Spain,2
Morocco,,,,2
Iraq,Antarctica,Afghanistan,Qatar,2
Antarctica,Brazil,,,2
Morocco,,,,2
Japan,Philippines,Iceland,,2
Madagascar,Turkey,,,2
Costa Rica,Egypt,Greece,South Korea,2
Colombia,Italy,Switzerland,Australia,2
Dominica,Thailand,Indonesia,,2
Nepal,Antarctica,Saint Kitts and Nevis,Sao Tome and Principe,2
Iran,Iraq,Antarctica,Yemen,2
Brazil,Iceland,Japan,Australia,2
Chad,Morocco,,,2
China,United States of America,Indonesia,Sweden,2
India,Switzerland,Japan,Iceland,2
China,Hong Kong,Iceland,Japan,2
Antarctica,Greece,Colombia,Ireland,2
Australia,,,,2
Aruba,Turks and Caicos Islands,,,2
North Korea,Guam,Chile,Madagascar,2
Japan,China,Kazakhstan,Bosnia and Herzegovina,2
Canada,Madagascar,Iceland,Norway,2
Iceland,Italy,Puerto Rico,,2
South Korea,Japan,Spain,Argentina,2
Switzerland,Japan,Italy,,2
Maldives,Argentina,,,2
Maldives,,,,2
Antarctica,Greece,Italy,Madagascar,2
United States of America,North Korea,Japan,Germany,2
Japan,South Korea,,,2
Singapore,,,,2
Italy,Iraq,,,2
Greece,Japan,Iceland,Spain,2
Iraq,Iran,North Korea,,2
China,France,Greece,Netherlands,2
Italy,Greece,United States of America,Aruba,2
Greece,,,,2
Ukraine,North Korea,Uganda,Morocco,2
Thailand,Switzerland,Spain,Norway,2
Greece,United Kingdom,Iceland,,2
Benin,Cocos (Keeling) Islands,Christmas Island,Pakistan,2
Iceland,Switzerland,India,,2
China,Japan,Puerto Rico,Hong Kong,2
Peru,Israel,Japan,Italy,2
United States of America,Norway,Brazil,,2
Japan,,,,2
Portugal,Netherlands,,,2
Cayman Islands,Thailand,,,2
Netherlands,Denmark,Japan,Switzerland,2
India,France,Greece,Mexico,2
Japan,Spain,South Korea,,2
Japan,South Korea,Mexico,,2
Zimbabwe,Yemen,North Korea,Kyrgyzstan,2
Morocco,Iceland,Antarctica,Chile,2
Greece,,,,2
Japan,South Korea,Antarctica,Argentina,2
Croatia,Turks and Caicos Islands,,,2
India,Switzerland,,,2
Greece,,,,2
Singapore,,,,2
Greece,Colombia,,,2
Nigeria,India,Afghanistan,Niger,2
Italy,Australia,Switzerland,United States of America,2
New Zealand,Greenland,Denmark,Canada,2
Albania,Maldives,"Palestine, State of",,2
Greece,,,,2
Albania,Kosovo,Niger,Sierra Leone,2
Italy,Jamaica,Madagascar,Guyana,2
United States of America,Greenland,Japan,,2
New Zealand,Maldives,North Korea,Japan,2
Sweden,France,,,2
Turks and Caicos Islands,North Korea,Zimbabwe,Chad,2
South Korea,Japan,Iceland,France,2
United States Minor Outlying Islands,Morocco,,,2
North Korea,United States of America,Ireland,Sweden,2
India,Japan,Jersey,,2
United States of America,Taiwan,,,2
United States of America,Israel,Egypt,The Bahamas,2
Greece,Iceland,Cyprus,Italy,2
South Sudan,North Korea,New Zealand,Brazil,2
Israel,,,,2
Peru,The Bahamas,,,2
Morocco,,,,2
Niger,Sierra Leone,North Macedonia,Northern Mariana Islands,2
New Zealand,Singapore,South Korea,Tajikistan,2
Antarctica,Chad,Costa Rica,France,2
North Korea,Chad,Zimbabwe,United States of America,2
Canada,,,,2
South Korea,,,,2
Greece,India,Dominican Republic,,2
North Korea,Rwanda,Morocco,Brazil,2
North Korea,Madagascar,,,2
Norway,Iceland,Greece,Switzerland,2
Greece,Iceland,Italy,,2
Italy,Greece,Fiji,New Caledonia,2
Antarctica,Canada,,,2
Antarctica,,,,2
Iceland,,,,2
Thailand,Maldives,Antarctica,China,2
Greece,South Korea,Japan,,2
France,Japan,Spain,,2
Greece,Italy,Japan,,2
India,North Korea,Morocco,,2
United States of America,Ireland,,,2
Afghanistan,Niger,Sierra Leone,North Macedonia,2
Kenya,Maldives,,,2
United Arab Emirates,Malaysia,Ireland,Netherlands,2
Italy,Switzerland,,,2
Japan,Italy,United States of America,The Bahamas,2
Iceland,,,,2
Afghanistan,North Korea,Niger,Sierra Leone,2
United States of America,Greece,Antarctica,,2
Niger,Afghanistan,North Korea,,2
Costa Rica,,,,2
The Bahamas,Virgin Islands (British),Greece,Thailand,2
Brazil,Mexico,Colombia,Antarctica,2
Afghanistan,Albania,United Arab Emirates,Saudi Arabia,2
United States of America,Philippines,French Polynesia,Virgin Islands (U.S.),2
Poland,Egypt,Iceland,,2
Switzerland,Maldives,,,2
Ireland,Indonesia,Sweden,,2
Peru,,,,2
Iceland,Ireland,United States of America,,2
United States of America,Italy,Switzerland,Poland,2
Morocco,Ethiopia,Somalia,Eritrea,2
China,Japan,South Korea,,2
Greece,,,,2
Colombia,,,,2
The Bahamas,Singapore,Malaysia,Spain,2
Azerbaijan,,,,2
Armenia,Saudi Arabia,Iraq,Lebanon,2
