country.0,country.1,country.2,country.3,assembly
South Korea,United States of America,,,1
Poland,Hungary,Russia,,1
Poland,,,,1
South Korea,United States of America,,,1
South Korea,United States of America,,,1
South Korea,,,,1
Puerto Rico,Cuba,,,1
Germany,South Korea,France,Australia,1
South Korea,United States of America,,,1
United States of America,South Korea,,,1
South Korea,United States of America,,,1
China,United States of America,,,1
Italy,Portugal,United States of America,,1
United States of America,New Zealand,,,1
Ecuador,,,,1
Puerto Rico,,,,1
United States of America,South Korea,,,1
South Korea,United States of America,,,1
Ghana,Nigeria,,,1
Poland,,,,1
China,,,,1
United States Minor Outlying Islands,Poland,,,1
South Korea,United States of America,,,1
Japan,,,,1
United States of America,India,Canada,,1
Austria,Poland,Czech Republic,,1
South Korea,United States of America,,,1
Turkey,,,,1
Colombia,Italy,Spain,United States of America,1
South Korea,United States of America,,,1
India,United States of America,,,1
Romania,China,United States of America,,1
South Korea,United States of America,,,1
China,Taiwan,,,1
United States Minor Outlying Islands,India,,,1
India,Albania,,,1
China,United States of America,,,1
India,United States of America,,,1
United States of America,,,,1
India,,,,1
United States of America,South Korea,,,1
India,,,,1
United States of America,South Korea,Germany,Italy,1
Italy,Germany,United States of America,,1
Greece,,,,1
Philippines,United States of America,,,1
India,,,,1
Ireland,Switzerland,United States of America,,1
China,,,,1
United States of America,,,,1
Haiti,Poland,United States of America,France,1
United States of America,,,,1
South Korea,Ireland,United States of America,,1
India,United States of America,,,1
China,,,,1
China,,,,1
South Korea,,,,1
South Korea,,,,1
China,,,,1
Turkey,,,,1
United States of America,South Korea,,,1
India,,,,1
Ecuador,Dominican Republic,United States of America,,1
South Korea,United States of America,,,1
Ireland,,,,1
United States of America,Poland,,,1
Uzbekistan,Tajikistan,Afghanistan,Turkey,1
Ukraine,United States of America,,,1
United States of America,India,,,1
United States of America,India,,,1
France,United Kingdom,Germany,Poland,1
South Korea,United States of America,,,1
South Korea,United States Minor Outlying Islands,,,1
United States of America,Canada,Colombia,,1
Haiti,Nigeria,United States of America,,1
United States of America,Israel,,,1
Russia,,,,1
India,,,,1
India,Russia,Rwanda,Ukraine,1
South Korea,,,,1
United States of America,India,Pakistan,United Kingdom,1
South Korea,,,,1
India,United States of America,,,1
South Korea,United States of America,,,1
South Korea,United States of America,North Korea,,1
South Korea,,,,1
China,,,,1
India,United States of America,,,1
Philippines,,,,1
India,United States of America,,,1
South Korea,United States of America,,,1
United States of America,Philippines,China,,1
Poland,,,,1
El Salvador,United States of America,,,1
South Korea,United States of America,,,1
China,United States of America,,,1
United States of America,Israel,,,1
South Korea,United States of America,,,1
India,,,,1
Ukraine,Israel,Russia,United States of America,1
Armenia,,,,1
United States of America,South Korea,Hungary,Ireland,1
United States of America,Philippines,Spain,China,1
United States of America,India,Haiti,,1
China,Ukraine,Hungary,Austria,1
South Korea,United States of America,,,1
United States of America,China,,,1
Ecuador,Spain,,,1
Turkey,,,,1
China,Afghanistan,Chad,Singapore,1
Israel,United States of America,Ireland,,1
United States of America,South Korea,,,1
Ireland,Italy,United States of America,Germany,1
United States of America,,,,1
Turkey,,,,1
Trinidad and Tobago,United States of America,China,,1
India,,,,1
Dominican Republic,,,,1
China,,,,1
Hong Kong,Germany,,,1
Croatia,,,,1
Ireland,Italy,United States of America,,1
United States of America,China,,,1
South Korea,Australia,Hong Kong,Singapore,1
United States of America,,,,1
Egypt,United States of America,,,1
Colombia,Switzerland,,,1
North Macedonia,Serbia,,,1
Poland,Russia,United States of America,,1
South Korea,,,,1
Japan,South Korea,United States of America,,1
Switzerland,Italy,United States of America,,1
Taiwan,,,,1
Guyana,United States of America,,,1
United States of America,,,,1
India,,,,1
India,,,,1
United States of America,India,,,1
United States of America,Hong Kong,China,Philippines,1
Anguilla,Dominica,Montserrat,United States of America,1
North Korea,,,,1
Philippines,,,,1
China,United States of America,India,,1
Cuba,United States of America,,,1
South Korea,United States of America,,,1
South Korea,,,,1
Egypt,,,,1
Peru,,,,1
United States of America,Russia,Ukraine,Australia,1
India,,,,1
United States Minor Outlying Islands,,,,1
United States of America,South Korea,,,1
United States of America,South Korea,,,1
India,,,,1
United States of America,South Korea,,,1
India,,,,1
Poland,Austria,,,1
United States of America,,,,1
Guatemala,Brazil,Mexico,United States of America,1
Philippines,,,,1
China,,,,1
Jamaica,,,,1
India,United States of America,,,1
United States of America,Greece,Germany,Lithuania,1
United States of America,,,,1
United States of America,Russia,,,1
Ireland,,,,1
Colombia,Poland,,,1
United States of America,,,,1
United States of America,India,,,1
China,United States of America,Ireland,,1
United States of America,Myanmar,,,1
North Macedonia,United States of America,,,1
India,United States of America,United Kingdom,,1
South Korea,United States of America,,,1
United States of America,South Korea,,,1
United States of America,,,,1
United States of America,,,,1
United States of America,India,,,1
South Korea,,,,1
India,United States of America,,,1
South Korea,United States of America,,,1
China,South Korea,United States of America,,1
Ukraine,,,,1
Norway,United States of America,Italy,,1
India,Greenland,Gabon,Fiji,1
United States of America,Uzbekistan,Russia,,1
South Korea,Brazil,Indonesia,United States of America,1
India,,,,1
Ireland,United States of America,Germany,,1
Italy,United States of America,Guatemala,,1
South Korea,United States of America,,,1
United States of America,Poland,Syria,,1
"Saint Helena, Ascension and Tristan da Cunha",Zimbabwe,South Korea,Canada,1
Dominican Republic,Honduras,,,1
Ireland,United States of America,,,1
India,,,,1
North Korea,,,,1
Colombia,Ecuador,United States of America,,1
South Korea,,,,1
India,United States of America,,,1
Turkey,Egypt,Afghanistan,Albania,1
South Korea,,,,1
South Korea,,,,1
Argentina,Spain,,,1
South Korea,United States of America,,,1
Afghanistan,Pakistan,,,1
United States of America,Saudi Arabia,Pakistan,China,1
United States of America,Greece,,,1
South Korea,United States of America,,,1
Spain,Italy,Ukraine,,1
Italy,United States of America,Ireland,,1
Turkey,Armenia,,,1
Ireland,Italy,United States of America,,1
Italy,France,Ireland,,1
Armenia,Syria,,,1
China,United States of America,,,1
United States of America,,,,1
India,Ireland,Germany,United States of America,1
United States of America,Ireland,Italy,,1
South Korea,,,,1
United States of America,China,South Korea,,1
China,United States of America,,,1
South Korea,United States of America,,,1
Poland,Italy,Germany,United States of America,1
South Korea,,,,1
Israel,,,,1
Greece,South Korea,United States of America,,1
Turkey,,,,1
Taiwan,United States of America,United Kingdom,,1
Australia,United States of America,,,1
India,,,,1
Chad,,,,1
United States of America,India,,,1
China,Zimbabwe,,,1
India,Bangladesh,,,1
India,,,,1
South Korea,United States of America,,,1
South Korea,,,,1
South Korea,,,,1
Israel,Ukraine,,,1
United States of America,China,,,1
Syria,,,,1
Italy,,,,1
Peru,Cuba,Puerto Rico,Italy,1
Canada,,,,1
United States of America,Trinidad and Tobago,,,1
Germany,United Kingdom,,,1
Antarctica,,,,1
Ireland,United States of America,,,1
Guatemala,Puerto Rico,United States of America,,1
Haiti,Poland,United States of America,,1
China,Canada,,,1
India,United States of America,,,1
Guyana,India,Ireland,Poland,1
India,United States of America,,,1
North Macedonia,,,,1
India,Syria,United States of America,Chad,1
Hong Kong,United States of America,,,1
Canada,United States of America,South Korea,,1
North Korea,South Korea,Ireland,,1
United States of America,Luxembourg,Poland,,1
United States of America,,,,1
India,,,,1
Bangladesh,Canada,United States of America,,1
Australia,United States of America,India,Madagascar,1
India,United States of America,,,1
Cuba,United States of America,Ireland,,1
Poland,United States of America,,,1
United States of America,,,,1
India,United States of America,,,1
Puerto Rico,,,,1
Albania,Afghanistan,Algeria,Angola,1
India,,,,1
India,United States of America,,,1
Costa Rica,,,,1
United States of America,,,,1
United States of America,,,,1
United States of America,Russia,Belarus,,1
United States of America,India,,,1
India,,,,1
United States of America,,,,1
China,,,,1
United States of America,Poland,,,1
North Korea,France,,,1
France,,,,1
India,,,,1
India,,,,1
South Korea,,,,2
India,United States of America,,,2
Italy,,,,2
Israel,,,,2
Japan,China,United States of America,,2
Egypt,,,,2
Israel,,,,2
Greece,Ukraine,France,United States of America,2
Poland,,,,2
India,,,,2
Greece,,,,2
South Korea,United States of America,,,2
India,,,,2
India,,,,2
United States Minor Outlying Islands,,,,2
United States of America,India,,,2
Grenada,,,,2
India,,,,2
South Korea,,,,2
United States of America,,,,2
South Korea,,,,2
Cuba,Israel,United States of America,,2
China,,,,2
Colombia,Greece,,,2
Bangladesh,,,,2
India,,,,2
United States of America,Japan,Italy,,2
United States of America,,,,2
Iraq,Germany,Ireland,,2
South Korea,,,,2
South Korea,,,,2
South Korea,United States of America,,,2
South Korea,,,,2
South Korea,,,,2
United States of America,,,,2
China,United States of America,,,2
United States of America,,,,2
United States of America,China,,,2
United States of America,Japan,,,2
India,Bangladesh,United States of America,,2
South Korea,,,,2
India,United States Minor Outlying Islands,,,2
United States of America,,,,2
Sri Lanka,,,,2
Italy,,,,2
India,,,,2
Italy,Greece,Puerto Rico,,2
India,,,,2
Latvia,,,,2
Cyprus,,,,2
Albania,,,,2
United States of America,,,,2
Portugal,,,,2
Cuba,Italy,,,2
India,,,,2
Philippines,,,,2
Jamaica,Puerto Rico,,,2
Colombia,Italy,Hungary,,2
Ireland,,,,2
United States of America,,,,2
South Korea,,,,2
Norway,Finland,Lithuania,United States of America,2
Iran,,,,2
India,,,,2
China,,,,2
China,Christmas Island,Albania,,2
United States of America,,,,2
India,,,,2
Ethiopia,Romania,United States of America,,2
Morocco,,,,2
Bangladesh,,,,2
Philippines,,,,2
Poland,,,,2
Russia,Italy,,,2
Ecuador,Dominican Republic,Cuba,,2
United States of America,,,,2
United States of America,,,,2
India,United States of America,,,2
United States of America,,,,2
United States of America,India,,,2
United States of America,,,,2
South Korea,,,,2
India,United States of America,,,2
Kenya,,,,2
Ukraine,United States of America,,,2
United States of America,South Korea,,,2
Taiwan,,,,2
United States of America,Poland,,,2
United States of America,,,,2
South Korea,,,,2
South Korea,,,,2
South Korea,,,,2
South Korea,,,,2
India,,,,2
Turkey,,,,2
South Korea,,,,2
India,United States of America,,,2
India,,,,2
South Korea,,,,2
United States of America,Thailand,,,2
Philippines,China,United States of America,,2
United States of America,,,,2
United States of America,,,,2
Morocco,United States Minor Outlying Islands,United States of America,Antarctica,2
China,,,,2
Morocco,,,,2
India,,,,2
Ukraine,,,,2
India,Pakistan,United States of America,,2
India,,,,2
El Salvador,Ireland,Cuba,United States of America,2
India,United States of America,,,2
North Korea,India,United States of America,Uzbekistan,2
United States of America,,,,2
Italy,,,,2
Philippines,,,,2
Puerto Rico,Vietnam,China,,2
South Korea,United States of America,,,2
Bangladesh,,,,2
India,,,,2
China,Japan,,,2
Singapore,,,,2
Ecuador,Taiwan,Chad,,2
United States of America,,,,2
Jordan,"Palestine, State of",,,2
China,United States of America,Poland,,2
India,,,,2
South Korea,United States of America,,,2
United States of America,,,,2
South Korea,,,,2
China,Hong Kong,,,2
India,United States of America,,,2
India,,,,2
Albania,,,,2
Poland,United States of America,,,2
Russia,Canada,United States of America,,2
Pakistan,,,,2
South Korea,,,,2
Dominican Republic,,,,2
China,United States of America,,,2
Morocco,India,Colombia,Pakistan,2
Poland,United States of America,,,2
Portugal,United States of America,Italy,,2
Vietnam,United States of America,Japan,,2
China,Poland,,,2
Turkey,,,,2
Portugal,Italy,United States of America,,2
Poland,,,,2
United States of America,,,,2
South Korea,,,,2
China,India,,,2
Chad,Morocco,Jamaica,United States of America,2
India,,,,2
India,,,,2
South Korea,,,,2
India,,,,2
Ukraine,North Korea,,,2
Kazakhstan,Russia,United States of America,,2
India,,,,2
India,United States of America,,,2
South Korea,,,,2
Portugal,Italy,,,2
Ireland,United States of America,,,2
Philippines,,,,2
United States of America,,,,2
Greece,United States of America,,,2
United States of America,,,,2
Dominican Republic,,,,2
Poland,,,,2
Poland,United States of America,,,2
United States of America,,,,2
Morocco,,,,2
Philippines,United States of America,,,2
India,,,,2
Tajikistan,Uzbekistan,,,2
China,United States of America,,,2
Mexico,United States of America,,,2
Greece,United States of America,Poland,,2
United States of America,,,,2
Italy,Poland,Spain,,2
United States of America,,,,2
India,,,,2
United States of America,China,,,2
Canada,India,,,2
United States of America,,,,2
Morocco,,,,2
South Korea,United States of America,,,2
South Korea,United States of America,,,2
South Korea,,,,2
Thailand,Ecuador,Dominican Republic,United States Minor Outlying Islands,2
United States of America,,,,2
Albania,Turkey,Egypt,,2
Albania,North Macedonia,,,2
South Korea,United States of America,,,2
Trinidad and Tobago,Jamaica,,,2
China,United States of America,,,2
India,Germany,,,2
United States of America,,,,2
United States of America,,,,2
Germany,Italy,,,2
India,,,,2
United States of America,El Salvador,,,2
Argentina,Brazil,United States of America,Lebanon,2
United States of America,,,,2
South Korea,,,,2
United States of America,South Korea,Ireland,,2
South Korea,Singapore,Germany,Ireland,2
Poland,United States of America,,,2
United States of America,Philippines,,,2
Czech Republic,Poland,United States of America,,2
Iran,United Kingdom,,,2
Turkey,,,,2
United States of America,Ukraine,Russia,Germany,2
South Korea,United States of America,,,2
India,Albania,Turkey,Swaziland,2
South Korea,United States of America,,,2
United States of America,Israel,Germany,,2
South Korea,,,,2
Lebanon,Lithuania,United States of America,,2
South Korea,,,,2
United States of America,,,,2
Italy,Czech Republic,Ireland,United States of America,2
South Korea,,,,2
Armenia,Argentina,Italy,Turks and Caicos Islands,2
United States of America,,,,2
United States of America,,,,2
South Korea,Japan,United States of America,,2
Italy,Ireland,Germany,United Kingdom,2
United States of America,South Korea,,,2
Philippines,,,,2
China,,,,2
Kosovo,Philippines,Italy,Germany,2
South Korea,United States of America,,,2
Japan,South Korea,United States of America,,2
India,,,,2
India,Netherlands,,,2
China,,,,2
Romania,France,United Kingdom,,2
India,United States of America,United Kingdom,,2
United States of America,,,,2
Italy,France,Croatia,United States of America,2
South Korea,Romania,,,2
South Korea,,,,2
South Korea,Canada,Russia,Ukraine,2
South Korea,,,,2
South Korea,,,,2
United States of America,United Kingdom,Poland,,2
Belarus,United States of America,Russia,,2
United States of America,,,,2
Cuba,Puerto Rico,United States of America,,2
Taiwan,,,,2
United States of America,North Korea,,,2
India,United States of America,,,2
Italy,United States of America,Germany,Ireland,2
United States of America,China,,,2
United States of America,India,,,2
South Korea,,,,2
India,United States of America,,,2
Poland,,,,2
United States of America,South Korea,,,2
South Korea,United States of America,,,2
United States of America,,,,2
Switzerland,,,,2
Dominican Republic,,,,2
India,United States of America,,,2
India,United States of America,,,2
South Korea,United States of America,,,2
Poland,United States of America,,,2
South Korea,,,,2
Georgia,Italy,Poland,Germany,2
Hungary,,,,2
United States of America,,,,2
South Korea,,,,2
Poland,United States of America,,,2
Belarus,,,,2
South Korea,,,,2
South Korea,,,,2
United States of America,Taiwan,China,Hong Kong,2
South Korea,,,,2
United States of America,Portugal,,,2
India,,,,2
India,United States of America,Ireland,,2
South Korea,India,,,2
India,United States of America,,,2
United States of America,Nigeria,,,2
China,United States of America,,,2
Ireland,United States of America,Germany,Poland,2
Peru,Ecuador,Italy,,2
United States of America,Israel,Ukraine,,2
Guyana,India,United Kingdom,Nigeria,2
India,,,,2
Philippines,Ukraine,United Kingdom,Germany,2
Afghanistan,American Samoa,Aruba,Benin,2
United States of America,Malaysia,Singapore,Japan,2
Nepal,,,,2
Japan,United States of America,,,2
United States of America,Antarctica,,,2
India,United States of America,,,2
United States of America,India,,,2
France,Greece,Spain,United States of America,2
South Korea,,,,2
Russia,North Korea,Iran,Uzbekistan,2
Switzerland,China,United States of America,,2
Sri Lanka,Canada,Mexico,Antarctica,2
Antarctica,,,,2
China,United States of America,Italy,,2
United States of America,Guyana,Barbados,,2
South Korea,United States of America,,,2
China,United States of America,,,2
United States of America,,,,2
United States of America,,,,2
United States of America,Dominican Republic,,,2
Morocco,Ireland,Turkey,Botswana,2
Poland,Czech Republic,Ukraine,,2
India,Uruguay,United States of America,,2
Pakistan,Canada,United States of America,Romania,2
India,United States of America,,,2
Antarctica,Australia,Cyprus,France,2
India,United States of America,,,2
China,,,,2
United States of America,Ecuador,North Macedonia,Japan,2
Colombia,Venezuela,Spain,,2
India,United Kingdom,United States of America,,2
United States of America,Austria,Ireland,Sweden,2
Poland,,,,2
China,,,,2
China,,,,2
United States of America,,,,2
United States Minor Outlying Islands,China,,,2
Niger,,,,2
Germany,Italy,United Kingdom,,2
Dominican Republic,United States of America,,,2
Antarctica,Jersey,,,2
Ukraine,United States of America,Japan,Sweden,2
Canada,United States of America,Portugal,Romania,2
Jamaica,Portugal,Maldives,United Kingdom,2
United States of America,Germany,Russia,Ireland,2
Chad,,,,2
South Korea,United States of America,,,2
Bangladesh,United States Minor Outlying Islands,Turkey,Syria,2
Philippines,,,,2
Dominican Republic,,,,2
China,,,,2
Turkey,Colombia,China,,2
India,,,,2
South Korea,United States of America,,,2
India,,,,2
India,Albania,,,2
South Korea,United States of America,,,2
India,Nigeria,Ireland,Kenya,2
Israel,Ukraine,,,2
India,United States of America,,,2
United States of America,Canada,,,2
United States of America,Russia,,,2
Egypt,,,,2
India,Pakistan,Nepal,,2
France,Egypt,Belgium,Morocco,2
India,,,,2
United States of America,,,,2
Antigua and Barbuda,,,,2
American Samoa,,,,2
South Korea,United States of America,,,2
Italy,,,,2
India,,,,2
Mozambique,Niger,Sao Tome and Principe,Chad,2
Algeria,Anguilla,Armenia,Azerbaijan,2
Argentina,,,,2
North Korea,,,,2
Liechtenstein,,,,2
Armenia,Italy,,,2
San Marino,Sao Tome and Principe,Senegal,Serbia,2
